ID,Name,BaseName,Types,ImageURL,RegionalForms,Link,HasRegionalForms
20,Raticate,Raticate,['normal'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png,"[{""name"": ""Raticate Alola"", ""types"": [""dark"", ""normal""], ""image"": ""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10092.png""}, {""name"": ""Raticate Totem Alola"", ""types"": [""dark"", ""normal""], ""image"": ""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10093.png""}]",https://bulbapedia.bulbagarden.net/wiki/Raticate_(Pokémon),True
21,Spearow,Spearow,"['normal', 'flying']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png,[],https://bulbapedia.bulbagarden.net/wiki/Spearow_(Pokémon),False
22,Fearow,Fearow,"['normal', 'flying']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png,[],https://bulbapedia.bulbagarden.net/wiki/Fearow_(Pokémon),False
23,Ekans,Ekans,['poison'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png,[],https://bulbapedia.bulbagarden.net/wiki/Ekans_(Pokémon),False
24,Arbok,Arbok,['poison'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png,[],https://bulbapedia.bulbagarden.net/wiki/Arbok_(Pokémon),False
25,Pikachu,Pikachu,['electric'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png,"[{""name"": ""Pikachu Rock Star"", ""types"": [""electric""], ""image"": ""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10080.png""}, {""name"": ""Pikachu Belle"", ""types"": [""electric""], ""image"": ""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10081.png""}, {""name"": ""Pikachu Pop Star"", ""types"": [""electric""], ""image"": ""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10082.png""}, {""name"": ""Pikachu Phd"", ""types"": [""electric""], ""image"": ""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10083.png""}, {""name"": ""Pikachu Libre"", ""types"": [""electric""], ""image"": ""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10084.png""}, {""name"": ""Pikachu Cosplay"", ""types"": [""electric""], ""image"": ""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10085.png""}, {""name"": ""Pikachu Original Cap"", ""types"": [""electric""], ""image"": ""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10094.png""}, {""name"": ""Pikachu Hoenn Cap"", ""types"": [""electric""], ""image"": ""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10095.png""}, {""name"": ""Pikachu Sinnoh Cap"", ""types"": [""electric""], ""image"": ""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10096.png""}, {""name"": ""Pikachu Unova Cap"", ""types"": [""electric""], ""image"": ""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10097.png""}, {""name"": ""Pikachu Kalos Cap"", ""types"": [""electric""], ""image"": ""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10098.png""}, {""name"": ""Pikachu Alola Cap"", ""types"": [""electric""], ""image"": ""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10099.png""}, {""name"": ""Pikachu Partner Cap"", ""types"": [""electric""], ""image"": ""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10148.png""}, {""name"": ""Pikachu Starter"", ""types"": [""electric""], ""image"": ""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10158.png""}, {""name"": ""Pikachu World Cap"", ""types"": [""electric""], ""image"": ""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10160.png""}, {""name"": ""Pikachu Gmax"", ""types"": [""electric""], ""image"": ""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10199.png""}]",https://bulbapedia.bulbagarden.net/wiki/Pikachu_(Pokémon),True
26,Raichu,Raichu,['electric'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png,"[{""name"": ""Raichu Alola"", ""types"": [""electric"", ""psychic""], ""image"": ""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10100.png""}]",https://bulbapedia.bulbagarden.net/wiki/Raichu_(Pokémon),True
27,Sandshrew,Sandshrew,['ground'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png,"[{""name"": ""Sandshrew Alola"", ""types"": [""ice"", ""steel""], ""image"": ""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10101.png""}]",https://bulbapedia.bulbagarden.net/wiki/Sandshrew_(Pokémon),True
28,Sandslash,Sandslash,['ground'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png,"[{""name"": ""Sandslash Alola"", ""types"": [""ice"", ""steel""], ""image"": ""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10102.png""}]",https://bulbapedia.bulbagarden.net/wiki/Sandslash_(Pokémon),True
29,Nidoran F,Nidoran,['poison'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png,[],https://bulbapedia.bulbagarden.net/wiki/Nidoran_(Pokémon),False
30,Nidorina,Nidorina,['poison'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png,[],https://bulbapedia.bulbagarden.net/wiki/Nidorina_(Pokémon),False
31,Nidoqueen,Nidoqueen,"['poison', 'ground']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png,[],https://bulbapedia.bulbagarden.net/wiki/Nidoqueen_(Pokémon),False
32,Nidoran M,Nidoran,['poison'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png,[],https://bulbapedia.bulbagarden.net/wiki/Nidoran_(Pokémon),False
33,Nidorino,Nidorino,['poison'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png,[],https://bulbapedia.bulbagarden.net/wiki/Nidorino_(Pokémon),False
34,Nidoking,Nidoking,"['poison', 'ground']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png,[],https://bulbapedia.bulbagarden.net/wiki/Nidoking_(Pokémon),False
35,Clefairy,Clefairy,['fairy'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png,[],https://bulbapedia.bulbagarden.net/wiki/Clefairy_(Pokémon),False
36,Clefable,Clefable,['fairy'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png,"[{""name"": ""Clefable Mega"", ""types"": [""fairy"", ""flying""], ""image"": null}]",https://bulbapedia.bulbagarden.net/wiki/Clefable_(Pokémon),True
37,Vulpix,Vulpix,['fire'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png,"[{""name"": ""Vulpix Alola"", ""types"": [""ice""], ""image"": ""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10103.png""}]",https://bulbapedia.bulbagarden.net/wiki/Vulpix_(Pokémon),True
38,Ninetales,Ninetales,['fire'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png,"[{""name"": ""Ninetales Alola"", ""types"": [""ice"", ""fairy""], ""image"": ""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10104.png""}]",https://bulbapedia.bulbagarden.net/wiki/Ninetales_(Pokémon),True
39,Jigglypuff,Jigglypuff,"['normal', 'fairy']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png,[],https://bulbapedia.bulbagarden.net/wiki/Jigglypuff_(Pokémon),False
40,Wigglytuff,Wigglytuff,"['normal', 'fairy']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png,[],https://bulbapedia.bulbagarden.net/wiki/Wigglytuff_(Pokémon),False
41,Zubat,Zubat,"['poison', 'flying']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png,[],https://bulbapedia.bulbagarden.net/wiki/Zubat_(Pokémon),False
42,Golbat,Golbat,"['poison', 'flying']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png,[],https://bulbapedia.bulbagarden.net/wiki/Golbat_(Pokémon),False
43,Oddish,Oddish,"['grass', 'poison']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png,[],https://bulbapedia.bulbagarden.net/wiki/Oddish_(Pokémon),False
44,Gloom,Gloom,"['grass', 'poison']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png,[],https://bulbapedia.bulbagarden.net/wiki/Gloom_(Pokémon),False
45,Vileplume,Vileplume,"['grass', 'poison']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png,[],https://bulbapedia.bulbagarden.net/wiki/Vileplume_(Pokémon),False
46,Paras,Paras,"['bug', 'grass']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png,[],https://bulbapedia.bulbagarden.net/wiki/Paras_(Pokémon),False
47,Parasect,Parasect,"['bug', 'grass']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.png,[],https://bulbapedia.bulbagarden.net/wiki/Parasect_(Pokémon),False
48,Venonat,Venonat,"['bug', 'poison']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png,[],https://bulbapedia.bulbagarden.net/wiki/Venonat_(Pokémon),False
49,Venomoth,Venomoth,"['bug', 'poison']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png,[],https://bulbapedia.bulbagarden.net/wiki/Venomoth_(Pokémon),False
50,Diglett,Diglett,['ground'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.png,"[{""name"": ""Diglett Alola"", ""types"": [""ground"", ""steel""], ""image"": ""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10105.png""}]",https://bulbapedia.bulbagarden.net/wiki/Diglett_(Pokémon),True
51,Dugtrio,Dugtrio,['ground'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.png,"[{""name"": ""Dugtrio Alola"", ""types"": [""ground"", ""steel""], ""image"": ""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10106.png""}]",https://bulbapedia.bulbagarden.net/wiki/Dugtrio_(Pokémon),True
52,Meowth,Meowth,['normal'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/52.png,"[{""name"": ""Meowth Alola"", ""types"": [""dark""], ""image"": ""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10107.png""}, {""name"": ""Meowth Galar"", ""types"": [""steel""], ""image"": ""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10161.png""}, {""name"": ""Meowth Gmax"", ""types"": [""normal""], ""image"": ""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10200.png""}]",https://bulbapedia.bulbagarden.net/wiki/Meowth_(Pokémon),True
53,Persian,Persian,['normal'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/53.png,"[{""name"": ""Persian Alola"", ""types"": [""dark""], ""image"": ""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10108.png""}]",https://bulbapedia.bulbagarden.net/wiki/Persian_(Pokémon),True
54,Psyduck,Psyduck,['water'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/54.png,[],https://bulbapedia.bulbagarden.net/wiki/Psyduck_(Pokémon),False
55,Golduck,Golduck,['water'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/55.png,[],https://bulbapedia.bulbagarden.net/wiki/Golduck_(Pokémon),False
56,Mankey,Mankey,['fighting'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/56.png,[],https://bulbapedia.bulbagarden.net/wiki/Mankey_(Pokémon),False
57,Primeape,Primeape,['fighting'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/57.png,[],https://bulbapedia.bulbagarden.net/wiki/Primeape_(Pokémon),False
58,Growlithe,Growlithe,['fire'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/58.png,"[{""name"": ""Growlithe Hisui"", ""types"": [""fire"", ""rock""], ""image"": ""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10229.png""}]",https://bulbapedia.bulbagarden.net/wiki/Growlithe_(Pokémon),True
59,Arcanine,Arcanine,['fire'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/59.png,"[{""name"": ""Arcanine Hisui"", ""types"": [""fire"", ""rock""], ""image"": ""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10230.png""}]",https://bulbapedia.bulbagarden.net/wiki/Arcanine_(Pokémon),True
60,Poliwag,Poliwag,['water'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/60.png,[],https://bulbapedia.bulbagarden.net/wiki/Poliwag_(Pokémon),False
61,Poliwhirl,Poliwhirl,['water'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/61.png,[],https://bulbapedia.bulbagarden.net/wiki/Poliwhirl_(Pokémon),False
62,Poliwrath,Poliwrath,"['water', 'fighting']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/62.png,[],https://bulbapedia.bulbagarden.net/wiki/Poliwrath_(Pokémon),False
63,Abra,Abra,['psychic'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/63.png,[],https://bulbapedia.bulbagarden.net/wiki/Abra_(Pokémon),False
64,Kadabra,Kadabra,['psychic'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/64.png,[],https://bulbapedia.bulbagarden.net/wiki/Kadabra_(Pokémon),False
65,Alakazam,Alakazam,['psychic'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/65.png,"[{""name"": ""Alakazam Mega"", ""types"": [""psychic""], ""image"": ""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10037.png""}]",https://bulbapedia.bulbagarden.net/wiki/Alakazam_(Pokémon),True
66,Machop,Machop,['fighting'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/66.png,[],https://bulbapedia.bulbagarden.net/wiki/Machop_(Pokémon),False
67,Machoke,Machoke,['fighting'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/67.png,[],https://bulbapedia.bulbagarden.net/wiki/Machoke_(Pokémon),False
68,Machamp,Machamp,['fighting'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/68.png,"[{""name"": ""Machamp Gmax"", ""types"": [""fighting""], ""image"": ""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10201.png""}]",https://bulbapedia.bulbagarden.net/wiki/Machamp_(Pokémon),True
69,Bellsprout,Bellsprout,"['grass', 'poison']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/69.png,[],https://bulbapedia.bulbagarden.net/wiki/Bellsprout_(Pokémon),False
70,Weepinbell,Weepinbell,"['grass', 'poison']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/70.png,[],https://bulbapedia.bulbagarden.net/wiki/Weepinbell_(Pokémon),False
71,Victreebel,Victreebel,"['grass', 'poison']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/71.png,"[{""name"": ""Victreebel Mega"", ""types"": [""grass"", ""poison""], ""image"": null}]",https://bulbapedia.bulbagarden.net/wiki/Victreebel_(Pokémon),True
72,Tentacool,Tentacool,"['water', 'poison']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/72.png,[],https://bulbapedia.bulbagarden.net/wiki/Tentacool_(Pokémon),False
73,Tentacruel,Tentacruel,"['water', 'poison']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/73.png,[],https://bulbapedia.bulbagarden.net/wiki/Tentacruel_(Pokémon),False
74,Geodude,Geodude,"['rock', 'ground']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/74.png,"[{""name"": ""Geodude Alola"", ""types"": [""rock"", ""electric""], ""image"": ""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10109.png""}]",https://bulbapedia.bulbagarden.net/wiki/Geodude_(Pokémon),True
75,Graveler,Graveler,"['rock', 'ground']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/75.png,"[{""name"": ""Graveler Alola"", ""types"": [""rock"", ""electric""], ""image"": ""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10110.png""}]",https://bulbapedia.bulbagarden.net/wiki/Graveler_(Pokémon),True
76,Golem,Golem,"['rock', 'ground']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/76.png,"[{""name"": ""Golem Alola"", ""types"": [""rock"", ""electric""], ""image"": ""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10111.png""}]",https://bulbapedia.bulbagarden.net/wiki/Golem_(Pokémon),True
77,Ponyta,Ponyta,['fire'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/77.png,"[{""name"": ""Ponyta Galar"", ""types"": [""psychic""], ""image"": ""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10162.png""}]",https://bulbapedia.bulbagarden.net/wiki/Ponyta_(Pokémon),True
78,Rapidash,Rapidash,['fire'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/78.png,"[{""name"": ""Rapidash Galar"", ""types"": [""psychic"", ""fairy""], ""image"": ""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10163.png""}]",https://bulbapedia.bulbagarden.net/wiki/Rapidash_(Pokémon),True
79,Slowpoke,Slowpoke,"['water', 'psychic']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/79.png,"[{""name"": ""Slowpoke Galar"", ""types"": [""psychic""], ""image"": ""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10164.png""}]",https://bulbapedia.bulbagarden.net/wiki/Slowpoke_(Pokémon),True
80,Slowbro,Slowbro,"['water', 'psychic']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/80.png,"[{""name"": ""Slowbro Mega"", ""types"": [""water"", ""psychic""], ""image"": ""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10071.png""}, {""name"": ""Slowbro Galar"", ""types"": [""poison"", ""psychic""], ""image"": ""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10165.png""}]",https://bulbapedia.bulbagarden.net/wiki/Slowbro_(Pokémon),True
81,Magnemite,Magnemite,"['electric', 'steel']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/81.png,[],https://bulbapedia.bulbagarden.net/wiki/Magnemite_(Pokémon),False
82,Magneton,Magneton,"['electric', 'steel']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/82.png,[],https://bulbapedia.bulbagarden.net/wiki/Magneton_(Pokémon),False
83,Farfetchd,Farfetchd,"['normal', 'flying']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/83.png,"[{""name"": ""Farfetchd Galar"", ""types"": [""fighting""], ""image"": ""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10166.png""}]",https://bulbapedia.bulbagarden.net/wiki/Farfetchd_(Pokémon),True
84,Doduo,Doduo,"['normal', 'flying']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/84.png,[],https://bulbapedia.bulbagarden.net/wiki/Doduo_(Pokémon),False
85,Dodrio,Dodrio,"['normal', 'flying']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/85.png,[],https://bulbapedia.bulbagarden.net/wiki/Dodrio_(Pokémon),False
86,Seel,Seel,['water'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/86.png,[],https://bulbapedia.bulbagarden.net/wiki/Seel_(Pokémon),False
87,Dewgong,Dewgong,"['water', 'ice']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/87.png,[],https://bulbapedia.bulbagarden.net/wiki/Dewgong_(Pokémon),False
88,Grimer,Grimer,['poison'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/88.png,"[{""name"": ""Grimer Alola"", ""types"": [""poison"", ""dark""], ""image"": ""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10112.png""}]",https://bulbapedia.bulbagarden.net/wiki/Grimer_(Pokémon),True
89,Muk,Muk,['poison'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/89.png,"[{""name"": ""Muk Alola"", ""types"": [""poison"", ""dark""], ""image"": ""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10113.png""}]",https://bulbapedia.bulbagarden.net/wiki/Muk_(Pokémon),True
90,Shellder,Shellder,['water'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/90.png,[],https://bulbapedia.bulbagarden.net/wiki/Shellder_(Pokémon),False
91,Cloyster,Cloyster,"['water', 'ice']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/91.png,[],https://bulbapedia.bulbagarden.net/wiki/Cloyster_(Pokémon),False
92,Gastly,Gastly,"['ghost', 'poison']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/92.png,[],https://bulbapedia.bulbagarden.net/wiki/Gastly_(Pokémon),False
